ID,Emissions per kilogram,Emissions per 1000 kilocalories,Emissions per 100 grams of protein,Emissions per 100 grams of fat,Land use per kilogram,Land use per 1000 kilocalories,Land use per 100 grams of protein,Land use per 100 grams of fat,Eutrophication per kilogram,Eutrophication per 1000 kilocalories,Eutrophication per 100 grams of protein,Eutrophication per 100 grams of fat,Water scarcity per kilogram,Water scarcity per 1000 kilocalories,Water scarcity per 100 grams of protein,Water scarcity per 100 grams of fat,Water withdrawals per kilogram,Water withdrawals per 1000 kilocalories,Water withdrawals per 100 grams of protein,Water withdrawals per 100 grams of fat,biodiversity_kg,biodiversity_1000kcal,biodiversity_100gprotein,biodiversity_100gfat
65,7.815675108,5.021886332,6.54161222,12.26760546,3.808557858,2.383747888,3.272294071,5.796481514,37.39283122,24.10185243,31.21588685,59.03519189,25225.57568,16087.20614,21364.77875,39339.05295,2213.398279,1426.02753,1850.471498,3473.968562,84.70076411,52.85271071,72.77036346,128.00521
66,16.82460829,147.1265352,80.78679567,484.2410625,19.39196396,96.06652643,55.55277096,326.3770235,65.44088258,559.6079771,307.7121722,1843.931771,229.0985863,2081.110221,1139.801141,6838.625176,16.21342554,147.2371215,80.6414915,483.8357667,2401.335787,19686.62609,10861.38197,64967.34603
67,20.29976356,167.0775394,153.4646904,537.9404928,13.77138238,106.9745093,104.6217614,343.6537742,76.79124793,633.5112765,589.0026386,2038.589697,2873.808758,7639.36266,41818.10664,18631.08728,199.5493015,562.8196734,3229.996394,1402.138023,2637.352786,22158.03726,19230.15228,71625.99548
68,3.357277781,0.769862303,7.480966465,2.258581503,7.184113677,1.625386211,12.93105991,4.648645641,14.74036539,3.479943912,34.1025829,11.71888815,14563.95283,3495.314721,33832.64263,12384.82431,765.9077676,181.2107161,1843.97881,613.4680987,461.1558756,104.0044043,917.409799,285.0028404
69,25.27850314,29.34696829,22.33756608,244.4779727,29.91505999,34.69433735,26.41003615,288.2894793,85.78630902,99.68763026,76.01481522,830.1219129,49595.30733,57659.88218,43951.5982,479632.1464,2418.437821,2811.564825,2145.792647,23317.38195,1657.886035,1919.381579,1461.011886,15800.25345
70,11.85127129,9.55054203,21.97775651,19.0205578,24.5641928,19.82043562,45.58255357,39.52573691,173.7045951,140.2596256,322.4530066,279.9424311,22821.1221,18390.39429,42320.73121,36625.05295,1100.153173,887.0038863,2040.703131,1767.387778,465.9859288,375.6857541,864.348992,748.4584246
71,0.846479423,3.254014948,4.499812872,16.35452735,1.267479817,4.761213353,6.560221394,24.1043607,2.94270116,11.23674884,15.35989558,56.85042793,27733.45808,107680.2146,149397.2845,538835.6257,322.9623509,1243.231058,1723.210049,6239.23272,22.65090308,86.52188298,119.6112783,435.1218649
72,1.157978775,0.85287951,2.243638168,11.95085009,2.951479593,2.083871621,5.475134336,33.27961001,6.14769742,4.333451553,11.44568817,67.26504774,13862.81121,13338.66005,31802.68031,161541.7429,333.853931,265.0719889,668.238971,3664.237081,38.03701345,27.05720801,72.4497743,387.7207352
73,3.703236627,7.133506582,10.88378839,17.6118152,4.068141259,7.767865521,14.56237215,18.65942915,11.4706468,22.07696753,34.45938211,54.35419241,6564.578481,12606.91929,20734.32727,30834.42205,309.7745959,594.8726408,973.6460774,1455.633867,181.5182861,348.5832391,577.8170135,851.9850324
74,2.448466292,0.59148399,2.917729657,4.349617875,4.458004853,1.061049882,5.088896698,7.17091952,13.99963525,3.427779975,16.54131005,26.76407811,18728.16823,4727.206053,21897.10812,43323.16054,787.9183487,197.6647324,959.9751304,1768.102759,132.8588897,30.2554756,172.8820098,142.1141847
75,3.031724448,0.815200281,4.163390665,4.210433824,7.525948306,1.967857197,9.331719899,8.975822792,32.28633896,8.818890106,40.10399362,38.18179654,11529.82912,3237.490825,17031.71254,30059.49499,420.9506299,117.6654,647.8891269,982.4861851,192.3638708,48.3730493,266.597254,185.6132947
76,1.68222778,0.398428185,3.573768845,0.703665126,3.670050556,0.879528203,6.835679782,1.61685051,9.591091511,2.306043182,17.96864496,4.181861455,9674.860214,2291.711032,15889.08379,4145.997393,366.3367338,87.60123854,631.9371434,159.5634624,112.7507456,27.07862453,224.1796516,49.61344163
